,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Lebanon,-0.01287688002797408,0.0011372536864926689,-0.007442286032952817,-0.004970127740099311,-0.006617361501137477,-0.0032772888171851474,-0.0029321128181703155,-0.008244254273061767
Libya,-0.00898692782245896,0.0008879145443094524,0.0377418082124196,0.044856319167255444,-0.016556443392360305,0.0023345857341595805,0.04834711697391734,0.039501029951880165
Lithuania,0.00806974213747466,0.01584385055780801,0.055109502235011466,0.06594303874273515,0.004479539406304391,0.019111279252071026,0.054894898554377285,0.06569019686700713
Luxembourg,-0.004564706570521904,-0.006971193074161018,-0.0004039521516682467,-0.008866736720476946,-0.0004670254894878868,-0.012390958394474122,7.005083656275801e-05,-0.007975207274144462
Macedonia,0.010306048553338009,-0.010462591382097125,0.026096805013774857,0.025413154681455462,0.005816710350015567,-0.007732730140003267,0.03388968153691132,0.01720824710920306
Madagascar,0.004851155578517512,0.00012366046550336566,0.015336613025406952,0.02584494436202082,0.0116471244147163,-0.006411032068654388,0.015846626555483426,0.02584495952386932
Malawi,-0.004715018970989616,-0.0007653555659770813,-0.0010677672945295653,-0.007520677535363679,-0.008486052759430639,0.006083814051484696,0.0009833155909395833,-0.010662980149422904
Malaysia,-0.0014266765236366173,0.0007154839842094544,-0.006641706937886427,0.00657901178967484,-0.0001225196650647277,-0.0005848079388139525,-0.004118471588732929,0.003437855379409534
Maldives,-0.039693173901028826,-0.015462503268895967,0.056861288824035634,-0.017575858979263233,-0.038414147669818405,-0.01724216221625582,0.02079222020251159,0.01894389490230383
Mali,0.043402160137948204,0.044283952882748626,0.016732809748103532,0.017018886383623904,0.041260194309610414,0.0501328971961886,0.02073950724786332,0.014924450319984631
Malta,-0.015142297812763545,0.009527314197757224,-0.055216834967054824,-0.08537031542974945,-0.010196080666052338,0.00496898905865973,-0.05934945538746666,-0.08197118395824604
Martinique,0.00933514604036706,0.010831472060700214,0.013835825899141297,0.04276278624225606,0.01546479377261116,0.008448178111307705,0.038642274890868814,0.022569297851969865
Mauritania,-0.03599316535506813,-0.043104150180592174,0.06674189465552464,0.06652868039750977,-0.03522676523940303,-0.036402181145805276,0.051546503993432524,0.08923613108862048
Mauritius,0.0005913097417821959,-0.012217298529813203,0.06877871585561887,0.10608845266500352,0.0010057340196638139,-0.011224079040519629,0.06622857973731434,0.10872204369835978
Mexico,0.0007492762573930512,-0.010690977924355886,0.019198269756422425,0.01888888931135544,0.0012099660720884314,-0.009988935418028614,0.01792711681314928,0.01994583724609368
Moldova,0.002098347154109055,-0.03684805475483275,-0.025765903118229412,-0.024345866688027296,-0.00871493127196744,-0.023524241805404418,-0.031674192594885096,-0.02065582531160548
Mongolia,-0.039198075819343446,-0.03868408977603522,-0.11671529670878958,-0.11061458021118295,-0.03526859033089362,-0.035354629404463524,-0.14279640349397746,-0.10132470821468864
Montenegro,-0.005790343320916092,-0.00848340895335172,-0.016104345270856905,0.005443811325218059,-0.008756183003397228,-0.005428568743389357,-0.01293761834646919,0.007248188963808988
Montserrat,0.08094815480687345,0.0554854126263008,-0.1017422496313003,-0.11069030716588539,0.08435597734756041,0.04735447461227934,-0.11534511862414876,-0.09196944184235627
Morocco,-0.020649325118875413,-0.04670632524534638,0.005772731698561018,-0.0014439144500175975,-0.01893813744549384,-0.045082147571160074,0.004661167700075698,0.0025059395620555427
Namibia,0.00967820202625484,0.02573256575762255,0.04814352759080201,0.02327608232960495,0.013172552929818579,0.02702754391664902,0.037396871627184504,0.03457985521390834
Nepal,-0.04383426812638429,-0.021535728121490925,-0.03090636097378629,-0.0024349646583645404,-0.03663347591424952,-0.024875244344971983,-0.03620753325604711,0.001545458408445537
Netherlands,0.004771572349360146,-0.007420115434186912,9.610307593383521e-05,-0.004125887525662981,0.00180942036830651,-0.0037619154611419937,-0.0033537217589399084,-0.002300871503007354
Netherlands Antilles,,,-0.054258823387851436,-0.004409999067915063,,,-0.03790995162671667,-0.0242559479279821
New Caledonia,0.004635362577563055,-0.03296086054118975,0.14548712230316915,0.20915293351894765,-0.006971870816050669,-0.023286466828976792,0.16100134852746656,0.20176307986948755
New Zealand,-0.0008612817121038445,0.0046205902950389195,-0.011326993705466911,0.00462149806881738,-0.00275542958635728,0.006575543922999674,-0.011570064587284594,0.003824068338235042
Nicaragua,-0.012914399058498238,-0.014428862226063833,0.03266616869566611,0.0012691677697297496,-0.009259667589259722,-0.014894464535887058,0.028638325227465112,0.004346292930738694
Niger,0.008034552522329035,-0.01966000980026309,0.04046679138784351,0.04152303478169302,0.003677567620908681,-0.016298795461901057,0.04737130598824286,0.03051708340575117
Nigeria,,,0.002398581198133169,0.013428250215334052,,,0.00660485763265336,0.010177496273055949
Norway,-0.008357934310819333,-0.010369165322719037,0.006008337275103307,-0.006308031193026744,-0.007982256648311186,-0.009996545274590775,0.0026020088112321906,-0.006021661302205469
Oman,0.004467073210536633,0.008114416938020102,0.03491539104034172,0.061063203692332535,0.006678224909542671,0.007299533639322016,0.041837598838769564,0.054575310551223936
Pakistan,-0.026483813848725765,-0.05514547141484012,0.03095100190591181,0.038185397024559635,-0.03156209674118114,-0.04937467089835221,0.028576654695711697,0.039616220704258624
Panama,-0.010363658852116842,-0.007084435458675219,-0.012350093517173425,0.003304700321632484,-0.012615417111503578,-0.0049222628330668474,-0.010818326101566963,0.0012428601614843204
Papua New Guinea,0.019873099163704753,0.04105626775473975,-0.08894951906799213,-0.026396078303213753,0.033233000499797966,0.02749739073824706,-0.09972101774427604,-0.01426373171345202
Paraguay,0.012129120935186472,0.008213635261403505,-0.014791712319438648,-0.016643294440640347,0.012329092757976466,0.008757553840720736,-0.0135449533279619,-0.01855211348849199
Peru,-0.018822352169709823,-0.01637415245182104,0.016831699700876068,0.0164608573582228,-0.018635297855691388,-0.016521370966311705,0.016259315850238373,0.013662420971001921
Philippines,-0.020991569798875207,-0.0162237199994359,-0.0030929540356069963,-0.029462122435979045,-0.0217870308239492,-0.015633738651989738,-0.0013860462215787947,-0.02818979679846768
Poland,0.017644914230376695,-0.05348211599825071,0.014159375298359226,0.00335590623915193,0.012924467441276922,-0.044821517374576826,0.01223953196344433,0.005165504009982254
Portugal,0.000461449438470757,-0.006262849484144592,0.002730987724362476,0.006535483944649091,-0.0013748842734218726,-0.0028579892500439187,-0.0002896892889285641,0.007665780847208163
Qatar,-0.05922340232339764,-0.03798308991993886,0.012722735332633146,0.021263334106093042,-0.04998887099533524,-0.04631282597636801,0.015055050331876818,0.02343263040033889
Romania,0.015245219600827174,0.023483686565583032,0.010048004234350837,0.02144487934926853,0.018178373625467852,0.02060069527598727,0.009164015200123618,0.02124982362754148
Russia,0.043114493485607926,0.032730103351593584,0.006722778143978587,0.017976169099793465,0.03999278694383966,0.0353545582481616,0.011211580645662094,0.01248165867913678
Rwanda,-0.04627534277357232,-0.022143574029117694,-0.0032872811101119434,-0.012501419148672489,-0.041019787920438686,-0.02909604053977921,-0.007136949708518387,-0.006170143663385846
Réunion,0.008799422699370186,-0.008185362865264235,-0.11072955891499653,-0.23843906263624234,0.004493012404715348,-0.0028630760319451353,-0.1761144843344945,-0.16661354751146687
Sao Tome and Principe,-0.0701380388853858,-0.02920468297722669,,,-0.06019039976576904,-0.030771514673281493,,
Saudi Arabia,0.005410296459468551,-0.007461760441283687,0.0025973552486060285,-0.0023644306631935225,0.0032012515940103214,-0.008008007225506862,0.003780824618269476,-0.004835566245252932
Senegal,0.02430701377586491,0.043958010164311424,0.018226049742726697,-0.019643585938586134,0.027987585353698732,0.03831330101969393,0.009791989805852585,-0.017047127576109624
Serbia,-0.019876767608667315,-0.006417226217165186,0.007313155644210886,-0.00974779450402512,-0.02467728022376525,-0.0017066769809995425,-0.0017392339908115625,0.0030216406848712156
Serbia and Montenegro,0.0986366548330962,0.06237849365205405,-0.07395144063067016,-0.05537142555701822,0.09256300747597537,0.06802856767775897,-0.08968246931500402,-0.05031510736359306
Seychelles,-0.012574699133032044,-0.014744933592982987,,,-0.007982432298235587,-0.020918085168427112,,
Sierra Leone,,,0.02080802181621134,0.1217992023292316,,,0.022124200114684633,0.12024021900818704
Singapore,0.030632841853333155,0.029851283160949958,-0.016156595524266404,-0.0054728378726457885,0.033254467618378226,0.027485214125300757,-0.017191299222037108,-0.004225724796214473
Slovakia,-0.02006412720926083,-0.009118645193296283,0.007663354573737027,0.01612794781751637,-0.016583189468279178,-0.012352961760755546,0.007336740151051926,0.01424487907942757
Slovenia,0.015843362190873407,0.004106879781137141,-0.04736739918476281,-0.054979516593128615,0.01651518290516107,0.004929392833662884,-0.045771265170160384,-0.05696623359311806
Solomon Islands,-0.03839504120937766,-0.039709355672310064,,,-0.03256964961510106,-0.051384517515822105,,
South Africa,-0.027866208947995876,-0.02762926588348092,0.005468364163313573,0.0008892009845496059,-0.024868452034755042,-0.03022309154183912,0.004093481750951762,0.0015081956734171815
South Korea,0.00335894789366887,-0.007030680500471623,0.0012908670630331616,0.0048317851641888135,0.001197988872840916,-0.004058736889243227,0.003511192531944685,0.0026560290942619987
Spain,-0.005036402099150899,-0.008510756784918918,0.006625619079068148,0.009008678060733128,-0.005694033702511218,-0.006614072617798668,0.0064136564910997115,0.008117249871039537
Sri Lanka,0.02499992252438404,-0.020195318285984015,-0.049770155713841205,-0.0438744316140523,0.025909968801078972,-0.01508899302893962,-0.0502407150054699,-0.04389969358088857
St. Kitts and Nevis,-0.020186845903015695,0.006163321129029018,-0.21877305687217227,-0.1949791669133008,-0.01811168951833448,0.003197110336658949,-0.15710121993159007,-0.20442797003406227
St. Lucia,-0.02852117280660434,-0.05576202865924946,,,-0.040353219807309514,-0.0505901837946758,,
St. Vincent and the Grenadines,-0.1313656581317564,-0.010385703132064772,-0.010215254021332696,0.01584641424884669,-0.07128299051881178,-0.055455243003139636,-0.0060447639854627816,0.008452311675550835
