,caloric_af_in_pr,caloric_af_in_vl,caloric_af_ex_pr,caloric_af_ex_vl,caloric_af_in_pr2,caloric_af_in_vl2,caloric_af_ex_pr2,caloric_af_ex_vl2
Qatar,-0.0520493868854076,-0.03829755583891231,0.010028965926806594,0.016914052121082133,-0.04619547730818118,-0.04328388502248702,0.012346561005991328,0.018101613090056798
Romania,0.013008066950045399,0.02079677254635672,0.009179087821125458,0.01824641833908713,0.015892705410505064,0.017907119068578937,0.00832665030709596,0.017909281540387633
Russia,0.03568273382566244,0.03024844041163857,0.007270037749083695,0.016313019084540054,0.033946522259096924,0.03141001972117261,0.011111493656030964,0.011551660334860896
Rwanda,-0.041546673930980584,-0.0198620896172493,0.006769848557929135,0.00334791536864282,-0.03752727074467888,-0.025732671612630726,0.0039017643438734803,0.008973649834553836
Réunion,0.005287948710264356,-0.007395583017163573,-0.10243361452349786,-0.2105703263100734,0.0016527337226245953,-0.003085919533347427,-0.1573969677465936,-0.15122471650686123
Sao Tome and Principe,-0.05973828665770094,-0.03143855521188018,,,-0.053122461068812174,-0.03204067462219451,,
Saudi Arabia,0.003335478046320548,-0.008017970536251712,0.002926333035713494,-0.0024278858674612043,0.0012679957108234744,-0.008079686646369282,0.003952106718021776,-0.0041846728753188265
Senegal,0.023557126115619862,0.041117386106742856,0.015589913054493481,-0.017544596425026388,0.02688463448467314,0.03607976044060717,0.00860984486304273,-0.015374117649210444
Serbia,-0.016746196890735,-0.004808056773733005,0.008360939670287785,-0.0059663772049735895,-0.021397538124847557,-0.0004539214053766123,0.0009219080527031301,0.004393689627420795
Serbia and Montenegro,0.10566295022890847,0.07011851230373478,-0.07027301784882875,-0.055785920780279934,0.10040112873202864,0.07510198253541678,-0.0850733875913367,-0.049767956214999624
Seychelles,-0.011583980274852865,-0.014577950875388927,,,-0.007657536405626297,-0.019668332298441952,,
Sierra Leone,,,0.015708731980636992,0.10900946955071124,,,0.016610461857158504,0.10654032819308384
Singapore,0.026709296137310073,0.026562880951260286,-0.013679487609594884,-0.004753253328056034,0.029256254941617463,0.02424768218943262,-0.014684137032803952,-0.0036957192719672327
Slovakia,-0.016721986633703268,-0.008475005683974045,0.005236208080049181,0.011992889429742061,-0.014474838468291071,-0.010496513901241187,0.005034230560915429,0.010474526625763618
Slovenia,0.015156372997193053,0.003895981732312756,-0.042111079990655574,-0.05035917829939349,0.015518646588485951,0.004869913676735394,-0.041237084300587014,-0.05149789066788028
Solomon Islands,-0.031037013006853242,-0.031153410551900195,,,-0.026585211890962922,-0.04001588589904806,,
South Africa,-0.02386593399304424,-0.02493716393208988,0.0048698458702376045,0.0002509017319062889,-0.022118670133233726,-0.02632382735212905,0.003352792708858406,0.0012390215257265728
South Korea,0.0033080876400502055,-0.0062122948538862015,0.001409068398354967,0.004107705300762839,0.0011786760115743622,-0.0034403981337220242,0.003355841070806081,0.0024167853528929313
Spain,-0.004783248341166197,-0.007898723563121006,0.005014968354815433,0.007100355163406498,-0.005385281314215666,-0.0062718260524021845,0.004975495877929587,0.006411465404899459
Sri Lanka,0.021378012602824552,-0.019184746389271947,-0.04506741073384187,-0.041131754696868736,0.0221756583263144,-0.014562954935608543,-0.04615285270437917,-0.04050903184592725
St. Kitts and Nevis,-0.022039397823236266,0.0037791568164864736,-0.19636539461017494,-0.19098953838089275,-0.021157152789703287,0.0018904066952131324,-0.14334876819302908,-0.19807136992686666
St. Lucia,-0.023928576317955943,-0.04988086465030147,,,-0.034557358502241294,-0.04525655631923531,,
